dataset,kernel,w_tilde
irvine,"PowerLaw(0.0, 1.0)",[0.9765687]
irvine,"PowerLaw(0.0, 1.0)",[0.22414306]
irvine,"PowerLaw(0.0, 1.0)",[0.45468132]
irvine,"PowerLaw(0.0, 1.0)",[0.00157081]
irvine,"PowerLaw(0.0, 1.0)",[0.02467189]
irvine,"PowerLaw(0.0, 1.0)",[0.72915169]
irvine,"PowerLaw(0.0, 1.0)",[-0.01610596]
irvine,"PowerLaw(0.0, 1.0)",[0.19916322]
irvine,"PowerLaw(0.0, 1.0)",[-0.07312809]
irvine,"PowerLaw(0.0, 1.0)",[-4.12153121]
irvine,"PowerLaw(0.0, 1.0)",[-3.93891438]
irvine,"PowerLaw(0.0, 1.0)",[1.16111407]
irvine,"PowerLaw(0.0, 1.0)",[0.36463563]
irvine,"PowerLaw(0.0, 1.0)",[-2.79037967]
irvine,"PowerLaw(0.0, 1.0)",[-1.54056981]
irvine,"PowerLaw(0.0, 1.0)",[-1.18565378]
lastfm,"PowerLaw(0.0, 1.0)",[0.01652255]
irvine,"PowerLaw(0.0, 1.0)",[0.84185147]
irvine,"PowerLaw(0.0, 1.0)",[0.84187884]
irvine,"PowerLaw(0.0, 1.0)",[0.86535688]
irvine,"PowerLaw(0.0, 1.0)",[0.77011511]
irvine,"PowerLaw(0.0, 1.0)",[0.84386363]
irvine,"PowerLaw(0.0, 1.0)",[0.84057227]
irvine,"PowerLaw(0.0, 1.0)",[0.84931498]
irvine,"PowerLaw(0.0, 1.0)",[0.84756668]
irvine,"PowerLaw(0.0, 1.0)",[0.56238992]
irvine,"PowerLaw(0.0, 1.0)",[0.70973628]
irvine,"PowerLaw(0.0, 1.0)",[0.8529714]
irvine,"PowerLaw(0.0, 1.0)",[0.8529714]
irvine,"PowerLaw(0.0, 1.0)",[0.9747468]
irvine,"PowerLaw(0.0, 1.0)",[0.96873464]
irvine,"PowerLaw(0.0, 1.0)",[0.91552028]
irvine,"PowerLaw(0.0, 1.0)",[0.97356797]
irvine,"PowerLaw(0.0, 1.0)",[2.12764222]
irvine,"PowerLaw(0.0, 1.0)",[4.62360134]
lastfm,"PowerLaw(0.0, 1.0)",[1.13143837]
github,"PowerLaw(0.0, 1.0)",[0.93757014 0.93756948 0.93756924 0.93757054 0.93757053 0.93629928]
github,"PowerLaw(0.0, 1.0)",[0.5670291  0.56702907 0.56702908 0.56702906 0.56702906 0.56702994]
github,"PowerLaw(0.0, 1.0)",[0.56687834 0.56687838 0.56687837 0.56687838 0.56687838 0.56687721]
github,"PowerLaw(0.0, 1.0)",[0.56687834 0.56687838 0.56687837 0.56687838 0.56687838 0.56687721]
github,"PowerLaw(0.0, 1.0)",[0.56687834 0.56687838 0.56687837 0.56687838 0.56687838 0.56687721]
github,"PowerLaw(0.0, 1.0)",[0.56687834 0.56687838 0.56687837 0.56687838 0.56687838 0.56687721]
github,"PowerLaw(0.0, 1.0)",[0.56782217 0.56782217 0.56782216 0.56782217 0.56782217 0.56781594]
github,"PowerLaw(0.0, 1.0)",[0.56782217 0.56782217 0.56782216 0.56782217 0.56782217 0.56781594]
github,"PowerLaw(0.0, 1.0)",[1.12222733 1.12222715 1.12222769 1.12222688 1.12222689 1.1229942 ]
github,"PowerLaw(0.0, 1.0)","[7.59515439e-07 7.70905011e-07 7.68710537e-07 7.71457383e-07
 7.71465315e-07 1.47354060e-06]"
github,"PowerLaw(0.0, 1.0)",[-0.00115217 -0.00115218 -0.00115217 -0.00115218 -0.00115218 -0.00110972]
lastfm,"PowerLaw(0.0, 1.0)",[-0.00021735]
lastfm,"PowerLaw(0.0, 1.0)",[-0.00021735]
lastfm,"PowerLaw(0.0, 1.0)",[-7.78415495e-06]
github,"PowerLaw(0.0, 1.0)",[-0.01822598 -0.01822621 -0.01822697 -0.01822568 -0.0182257  -0.01988372]
lastfm,"PowerLaw(0.0, 1.0)",[-0.73117477]
twitter,"ExponentialPseudo(0.0, 1.0)",[-42.21793962 -42.22140808 -42.17105478 -42.22461201 -34.60222925]
twitter,"ExponentialPseudo(0.0, 1.0)",[-0.00357774 -0.00357774 -0.00357767 -0.00357775 -0.00357108]
twitter,"ExponentialPseudo(0.0, 1.0)","[1.33731300e-07 1.33731301e-07 1.33730607e-07 1.33731304e-07
 1.33696652e-07]"
twitter,"ExponentialPseudo(0.0, 1.0)",[-0.01786358 -0.01786362 -0.01786312 -0.01786366 -0.01778707]
twitter,"ExponentialPseudo(0.0, 1.0)",[-0.00010532 -0.00010532 -0.00010532 -0.00010532 -0.00010531]
twitter,"ExponentialPseudo(0.0, 1.0)",[-0.00011589 -0.00011589 -0.00011589 -0.00011589 -0.00011588]
twitter,"ExponentialPseudo(0.0, 1.0)",[-0.00012383 -0.00012383 -0.00012383 -0.00012383 -0.00012382]
twitter,"ExponentialPseudo(0.0, 1.0)",[-0.00046666 -0.00046666 -0.00046666 -0.00046666 -0.0004666 ]
twitter,"ExponentialPseudo(0.0, 1.0)","[-4.08025982e-07 -4.08017993e-07 -4.08050367e-07 -4.07452367e-07
 -4.07425889e-07]"
